Gene,Control_baseline_blood1,Control_baseline_blood2,Control_baseline_blood3,Control_baseline_blood4,Control_baseline_blood5,Control_baseline_blood6,Control_baseline_blood7,Control_baseline_blood8,Control_baseline_blood9,Control_baseline_blood10,Control_final_blood1,Control_final_blood2,Control_final_blood3,Control_final_blood4,Control_final_blood5,Control_final_blood6,Control_final_blood7,Control_final_blood8,Control_final_blood9,Control_final_blood10
0610007C21Rik,31441,31727,30456,26213,24740,19300,30307,28556,33751,31155,27917,31368,29592,30048,26125,31180,33910,32128,37960,25797
0610007L01Rik,65862,67881,71250,68206,77882,68450,76901,66865,67403,74790,86569,75282,81074,82542,77584,85525,72549,88768,78560,78325
0610007P08Rik,62249,69848,61135,65533,53538,65333,63203,67218,58082,63049,64575,73227,67170,69871,70855,60465,53531,54974,52153,43203
0610007P14Rik,25116,21643,19674,20005,17318,16783,16502,19390,21683,22095,17765,27149,21231,18101,19198,17921,22137,23560,21125,20721
0610007P22Rik,10299,10207,8114,10865,6729,7073,9060,6698,10989,10354,6345,9086,8831,10137,10490,7285,10364,8091,11223,11811
0610008F07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0610009B22Rik,8493,6886,5447,7329,5740,5754,7118,6111,7555,8043,6204,7572,10522,6758,5740,8159,8855,10471,5281,5180
0610009D07Rik,105253,99607,96148,102439,79168,76482,97932,86373,93403,109551,109269,103513,107190,120676,121126,116122,115415,102214,77239,96456
0610009O20Rik,20509,18815,22564,22419,20881,22057,20169,20917,23939,19691,15509,17306,21043,18463,16031,20689,21433,16897,18485,25590
0610010B08Rik,813,492,778,431,1089,1439,971,705,981,462,0,1731,845,121,594,146,302,1071,330,1243
0610010F05Rik,26833,23857,24787,29749,21079,32607,20708,30319,24332,28289,30172,30827,30720,25945,28896,16027,26967,27725,23436,17509
0610010K14Rik,14275,13527,14783,14228,17021,11268,13805,15747,13343,13867,17060,12547,14467,12792,11083,19524,17106,14636,16504,19270
0610010O12Rik,90,0,111,0,99,0,216,235,98,0,141,0,0,362,198,437,0,357,660,104
0610011F06Rik,10842,10822,12560,11986,13162,9830,10246,10576,12755,10816,7896,12655,11461,9895,9104,12093,10264,10828,16174,13676
0610011L14Rik,38578,34924,33902,39493,36022,29849,33112,33844,43856,35777,29326,37100,31001,30772,28698,31180,34514,37244,41921,38437
0610012G03Rik,17437,17585,14895,16125,17120,16783,11972,13514,15796,18305,15086,18821,19352,16653,16823,17775,20527,16302,22116,18027
0610012H03Rik,181,0,333,172,297,240,108,118,883,647,0,0,188,0,396,583,604,595,0,311
0610030E20Rik,84293,92967,83699,81399,87481,82356,93510,71096,83003,91431,73316,86964,87274,82663,78970,71684,75669,75679,96714,78947
0610031J06Rik,29543,30128,38237,32508,39386,29370,32249,37839,32966,35777,39337,26392,32505,38375,34042,31034,47997,35578,45882,48280
0610037L13Rik,19063,22381,18118,19488,17417,17862,20169,18332,22468,23112,18329,23688,26116,19670,21177,23603,24250,19277,18815,18856
0610037P05Rik,63513,60256,52242,57945,57001,63895,52633,59462,53962,66008,88120,89344,82483,85197,79563,92519,65204,68182,51163,66410
0610038B21Rik,1717,1230,556,862,693,719,216,235,883,555,0,757,470,1086,0,728,503,833,0,414
0610039K10Rik,2981,6149,4891,2846,3760,2517,3344,2115,2845,4992,2961,1947,3664,1810,3760,3497,3019,3451,6272,2797
0610040B10Rik,994,246,445,517,396,1678,1618,588,2060,462,846,216,2255,1569,792,1166,1006,595,990,829
0610040J01Rik,361,492,778,1035,1484,5035,539,1645,2060,2311,1833,649,1409,1327,2771,1166,1107,1428,1650,2797
0910001L09Rik,28369,26070,25677,27421,27016,29730,27611,28086,34732,33743,26930,29204,35699,31617,28896,29140,39847,30105,30038,41649
100043387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100001G20Rik,2801,4796,3335,5432,3365,4915,2157,2585,5298,3975,2397,2812,4603,2896,14646,2331,5534,8567,7262,7770
1110001A16Rik,5963,4304,4557,3277,3859,4435,4530,3760,5004,6009,4653,4110,5449,4827,4750,4517,6943,6307,6272,6941
1110001J03Rik,9667,11067,9337,10261,9203,9231,9276,10929,11381,13220,8037,13196,11931,11344,10886,10345,10163,9995,11553,11914
1110002B05Rik,43276,44024,42572,46218,38298,33686,43573,38780,41992,47980,47937,53758,51575,42961,49678,43273,53934,51404,42251,43825
1110002L01Rik,10209,6886,5780,8364,7026,4076,7766,5641,5494,9060,6627,7896,7140,6999,6135,5828,6641,7139,7262,4248
1110002N22Rik,5873,5165,5335,6036,6235,3357,4098,5876,7162,6102,5922,8004,6858,5310,5938,5099,5132,6307,4621,4766
1110003E01Rik,223788,241886,217417,220485,244333,193602,229624,195426,207900,191737,350931,251266,240402,276469,218304,256576,241395,257498,213234,260565
1110004E09Rik,7860,8116,7225,8623,6729,7552,8521,9166,8241,8967,8460,11898,9394,9775,6927,11219,8452,7972,8582,9324
1110004F10Rik,62068,64068,62913,63550,64126,58860,58134,59110,67207,59721,86005,64899,69331,77233,73824,74452,65908,69372,69647,76874
1110005A03Rik,53485,45008,43461,49236,34339,36682,40769,39015,43464,50014,37222,39480,49696,49719,37802,45458,39344,42718,34329,41027
1110006O24Rik,2168,1722,2223,690,1484,1558,1186,1528,2158,2311,2397,541,1503,483,198,1020,1409,1547,1320,1036
1110007A13Rik,129195,111659,129939,122272,123503,119278,129858,113871,114988,101600,88543,100377,96480,98713,97970,94850,97302,104237,114539,115001
1110007C09Rik,32254,44639,38348,30180,43246,38361,36347,42540,42581,31062,73598,50080,44905,54063,45521,50412,57959,51404,43241,60091
1110008F13Rik,10932,16601,12338,14141,14151,12347,10138,11399,12755,14422,16778,12114,14749,17619,11083,10490,14389,12137,17494,20928
1110008J03Rik,1988,1845,3446,1466,2375,2757,2373,3290,2060,2866,2256,1190,2724,1569,1385,2477,3119,2380,5281,2590
