Sample,Tissue,Group
Control_baseline_blood1,baseline_blood,Control
Control_baseline_blood2,baseline_blood,Control
Control_baseline_blood3,baseline_blood,Control
Control_baseline_blood4,baseline_blood,Control
Control_baseline_blood5,baseline_blood,Control
Control_baseline_blood6,baseline_blood,Control
Control_baseline_blood7,baseline_blood,Control
Control_baseline_blood8,baseline_blood,Control
Control_baseline_blood9,baseline_blood,Control
Control_baseline_blood10,baseline_blood,Control
Control_final_blood1,final_blood,Control
Control_final_blood2,final_blood,Control
Control_final_blood3,final_blood,Control
Control_final_blood4,final_blood,Control
Control_final_blood5,final_blood,Control
Control_final_blood6,final_blood,Control
Control_final_blood7,final_blood,Control
Control_final_blood8,final_blood,Control
Control_final_blood9,final_blood,Control
Control_final_blood10,final_blood,Control
