"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007C21Rik",29580.1455768763,0.0956513863223821,0.0953501115721573,1.00315966856522,0.315783828991009,0.56749731886812
"0610007L01Rik",75370.7281228239,0.199884926622455,0.0494343273019815,4.04344384826782,5.26717750454206e-05,0.000519130375760815
"0610007P08Rik",61767.666000078,-0.0372352593536469,0.0887138641014527,-0.419723114653927,0.674687737218681,0.8607699777598
"0610007P14Rik",20377.7222208536,0.066934151047483,0.0931992938492417,0.718183027821595,0.4726444413745,0.720430836299626
"0610007P22Rik",9167.78659625267,0.054858439424405,0.134567163125838,0.407665868478667,0.683518998828097,0.864358325585914
"0610008F07Rik",0,NA,NA,NA,NA,NA
"0610009B22Rik",7138.12942273437,0.132557278218876,0.149911936986091,0.884234310381665,0.376569740483353,0.632022535998241
"0610009D07Rik",100483.206605173,0.182494718098986,0.0852667233872238,2.14028064934803,0.0323320928468373,0.112857530743009
"0610009O20Rik",20092.8489909595,-0.140949567180601,0.0855557950229855,-1.64745786235442,0.0994639705184442,0.253273681131378
"0610010B08Rik",722.644770330917,-0.354414794676987,0.626468541952731,-0.565734383999968,0.571574357549949,0.796988124342704
"0610010F05Rik",25946.5244399076,-0.0166000927971075,0.124882898206204,-0.132925268676082,0.89425248271765,0.961568379662915
"0610010K14Rik",14793.3277924105,0.134633668725739,0.107109943253861,1.25696704372855,0.208765569522587,0.431185498727391
"0610010O12Rik",154.746346230128,1.42027399105804,1.41684727350615,1.00241855111413,0.316141486111802,0.567977911115525
"0610011F06Rik",11337.5176381568,0.0108316682382986,0.11281932695456,0.0960089776343136,0.92351344238265,0.974012413445226
"0610011L14Rik",34838.5921731167,-0.0739012497241624,0.0806803896829588,-0.915975369164233,0.359679813802208,0.615681073589639
"0610012G03Rik",16991.4047325661,0.192018063456442,0.0876346796521833,2.19111959122291,0.028443139360241,0.102732714250941
"0610012H03Rik",280.9175010971,-0.147777331419735,1.18321337909737,-0.124894912473411,0.900606746092951,0.964648247802222
"0610030E20Rik",82670.2421558964,-0.0699629845509262,0.0628808380686745,-1.11262805490151,0.26586820621489,0.507855068395911
"0610031J06Rik",35731.8451955942,0.172723597732472,0.104610747173531,1.65110758119291,0.0987166095691508,0.251880077706235
"0610037L13Rik",20543.6590741023,0.114564991024167,0.0855720467693558,1.33881326144923,0.180631472473992,0.388647137166109
"0610037P05Rik",67578.1914650484,0.396542481842062,0.0961176262374129,4.12559587002901,3.6977610284366e-05,0.000382622023347927
"0610038B21Rik",620.631657154984,-0.674795381560622,0.894703747167327,-0.754210970611284,0.45072255115347,0.701295710585217
"0610039K10Rik",3469.10238367265,-0.13108607445778,0.233521489971413,-0.561344801601887,0.574562505437838,0.798617104769124
"0610040B10Rik",960.942802785115,0.199039946829463,0.42484132159095,0.468504207839521,0.639424062585753,0.839501438343813
"0610040J01Rik",1584.57245421224,0.0445021999462032,0.41014769282922,0.108502865490294,0.913596807603382,0.970160384343601
"0910001L09Rik",30460.2799524764,0.16983603336527,0.0863902925220111,1.96591571121256,0.0493083478963829,0.151577216616522
"100043387",0,NA,NA,NA,NA,NA
"1100001G20Rik",4846.24889361098,0.60497122713259,0.306214034676251,1.97564826763151,0.0481946278531476,0.149016498335276
