"ID","Description","GeneRatio","BgRatio","Count","pvalue","geneID","p.adjust","qvalue"
"pau00920","Sulfur metabolism","4/12","60/2048",4,0.000276703484429972,"PA14_19540/PA14_19560/PA14_19570/PA14_19580",0.0030437383287297,0.0030437383287297
"pau00190","Oxidative phosphorylation","3/12","58/2048",3,0.00395580822488526,"PA14_44340/PA14_44350/PA14_44360",0.021756945236869,0.021756945236869
"pau00910","Nitrogen metabolism","2/12","34/2048",2,0.0159135379686025,"PA14_13750/PA14_13770",0.0541293171163538,0.0541293171163538
"pau00650","Butanoate metabolism","2/12","38/2048",2,0.0196833880423105,"PA14_38640/PA14_38660",0.0541293171163538,0.0541293171163538
"pau00280","Valine, leucine and isoleucine degradation","2/12","45/2048",2,0.0270944037859934,"PA14_38640/PA14_38660",0.0596076883291856,0.0596076883291856
"pau02010","ABC transporters","3/12","202/2048",3,0.106832040926528,"PA14_19540/PA14_19570/PA14_19580",0.195858741698635,0.195858741698635
"pau00061","Fatty acid biosynthesis","1/12","27/2048",1,0.147589782760501,"PA14_20950",0.231926801480788,0.231926801480788
"pau02020","Two-component system","3/12","268/2048",3,0.200019323983212,"PA14_44340/PA14_44350/PA14_44360",0.275026570476916,0.275026570476916
"pau01212","Fatty acid metabolism","1/12","51/2048",1,0.261724323254254,"PA14_20950",0.319885283977422,0.319885283977422
"pau01100","Metabolic pathways","7/12","1047/2048",7,0.417668895034038,"PA14_19560/PA14_20950/PA14_38640/PA14_38660/PA14_44340/PA14_44350/PA14_44360",0.459435784537442,0.459435784537442
"pau01120","Microbial metabolism in diverse environments","1/12","325/2048",1,0.875027895641437,"PA14_19560",0.875027895641437,0.875027895641437
