"ID","Description","GeneRatio","BgRatio","Count","pvalue","geneID","p.adjust","qvalue"
"pau00970","Aminoacyl-tRNA biosynthesis","7/43","86/2048",7,0.0016942659610929,"PA14_08650/PA14_23570/PA14_23580/PA14_27600/PA14_27610/PA14_27620/PA14_65220",0.029394162734418,0.029394162734418
"pau03010","Ribosome","6/43","67/2048",6,0.00229705533466353,"PA14_17060/PA14_57580/PA14_57590/PA14_60400/PA14_60460/PA14_70190",0.029394162734418,0.029394162734418
"pau00740","Riboflavin metabolism","3/43","14/2048",3,0.00267219661221982,"PA14_11410/PA14_11420/PA14_19530",0.029394162734418,0.029394162734418
"pau00190","Oxidative phosphorylation","5/43","58/2048",5,0.00646015831199835,"PA14_44340/PA14_44350/PA14_44360/PA14_57560/PA14_57570",0.0492641978923305,0.0492641978923305
"pau00920","Sulfur metabolism","5/43","60/2048",5,0.00746427240792887,"PA14_19530/PA14_19540/PA14_19560/PA14_19570/PA14_19580",0.0492641978923305,0.0492641978923305
"pau04148","Efferocytosis","1/43","2/2048",1,0.0415613931973621,"PA14_57570",0.228587662585491,0.228587662585491
"pau00760","Nicotinate and nicotinamide metabolism","2/43","24/2048",2,0.0888271178202457,"PA14_64950/PA14_64960",0.366411861008513,0.366411861008513
"pau00785","Lipoic acid metabolism","2/43","24/2048",2,0.0888271178202457,"PA14_32985/PA14_33000",0.366411861008513,0.366411861008513
"pau00260","Glycine, serine and threonine metabolism","3/43","56/2048",3,0.110894999733534,"PA14_32985/PA14_33000/PA14_47100",0.395657580896941,0.395657580896941
"pau01200","Carbon metabolism","5/43","129/2048",5,0.129800616447315,"PA14_19190/PA14_32985/PA14_33000/PA14_47100/PA14_61770",0.395657580896941,0.395657580896941
"pau00670","One carbon pool by folate","2/43","31/2048",2,0.136665015605748,"PA14_32985/PA14_33000",0.395657580896941,0.395657580896941
"pau00620","Pyruvate metabolism","3/43","63/2048",3,0.143875483962524,"PA14_19190/PA14_63090/PA14_63100",0.395657580896941,0.395657580896941
"pau01240","Biosynthesis of cofactors","6/43","186/2048",6,0.190040653242048,"PA14_11410/PA14_11420/PA14_39640/PA14_64950/PA14_64960/PA14_67580",0.451367187179187,0.451367187179187
"pau02020","Two-component system","8/43","268/2048",8,0.191489109712382,"PA14_19190/PA14_43710/PA14_44340/PA14_44350/PA14_44360/PA14_57560/PA14_57570/PA14_61080",0.451367187179187,0.451367187179187
"pau00730","Thiamine metabolism","1/43","13/2048",1,0.24169953791861,"PA14_67580",0.531738983420942,0.531738983420942
"pau00290","Valine, leucine and isoleucine biosynthesis","1/43","17/2048",1,0.303833165019848,"PA14_47100",0.589793790920881,0.589793790920881
"pau03060","Protein export","1/43","17/2048",1,0.303833165019848,"PA14_73410",0.589793790920881,0.589793790920881
"pau03018","RNA degradation","1/43","19/2048",1,0.333006478354505,"PA14_27370",0.61051187698326,0.61051187698326
"pau04122","Sulfur relay system","1/43","22/2048",1,0.374540357291328,"PA14_67580",0.633749832821927,0.633749832821927
"pau00630","Glyoxylate and dicarboxylate metabolism","2/43","63/2048",2,0.384090807770865,"PA14_32985/PA14_33000",0.633749832821927,0.633749832821927
"pau00030","Pentose phosphate pathway","1/43","28/2048",1,0.450169180252308,"PA14_61770",0.707408711825055,0.707408711825055
"pau00790","Folate biosynthesis","1/43","33/2048",1,0.506304979804933,"PA14_11420",0.741553627484859,0.741553627484859
"pau00910","Nitrogen metabolism","1/43","34/2048",1,0.516840407034902,"PA14_13770",0.741553627484859,0.741553627484859
"pau03070","Bacterial secretion system","2/43","97/2048",2,0.613352969506707,"PA14_42570/PA14_73410",0.822456449888024,0.822456449888024
"pau02010","ABC transporters","4/43","202/2048",4,0.626352846133108,"PA14_13010/PA14_19540/PA14_19570/PA14_19580",0.822456449888024,0.822456449888024
"pau02030","Bacterial chemotaxis","1/43","49/2048",1,0.6508583958447,"PA14_43710",0.822456449888024,0.822456449888024
"pau00860","Porphyrin metabolism","1/43","52/2048",1,0.672918913544747,"PA14_39640",0.822456449888024,0.822456449888024
"pau00230","Purine metabolism","1/43","67/2048",1,0.764345608676005,"PA14_61770",0.900835895939578,0.900835895939578
"pau01230","Biosynthesis of amino acids","2/43","146/2048",2,0.824225725205786,"PA14_47100/PA14_61770",0.937912032130722,0.937912032130722
"pau01100","Metabolic pathways","19/43","1047/2048",19,0.858579887570605,"PA14_11410/PA14_11420/PA14_19530/PA14_19560/PA14_32985/PA14_33000/PA14_39640/PA14_44340/PA14_44350/PA14_44360/PA14_47100/PA14_57560/PA14_57570/PA14_61770/PA14_63090/PA14_63100/PA14_64950/PA14_64960/PA14_67580",0.944437876327666,0.944437876327666
"pau02024","Quorum sensing","1/43","111/2048",1,0.911232542210465,"PA14_73410",0.957120661554474,0.957120661554474
"pau01110","Biosynthesis of secondary metabolites","6/43","442/2048",6,0.928117005143732,"PA14_11410/PA14_11420/PA14_32985/PA14_33000/PA14_47100/PA14_61770",0.957120661554474,0.957120661554474
"pau01120","Microbial metabolism in diverse environments","3/43","325/2048",3,0.976595613290143,"PA14_19530/PA14_19560/PA14_61770",0.976595613290143,0.976595613290143
